C. Demografía y Población
Migraciones
Cambios de domicilio
5.2.1. Cambios de domicilio entre Distritos
;;2018;2019
15. Ciudad Lineal;16. Hortaleza;831;876
15. Ciudad Lineal;17. Villaverde;266;299
15. Ciudad Lineal;18. Villa de Vallecas;219;249
15. Ciudad Lineal;19. Vicálvaro;227;233
15. Ciudad Lineal;20. San Blas-Canillejas;1.524;1.640
15. Ciudad Lineal;21. Barajas;195;149
16. Hortaleza;Ciudad de Madrid;9.601;10.269
16. Hortaleza;01. Centro;146;158
16. Hortaleza;02. Arganzuela;88;104
16. Hortaleza;03. Retiro;97;77
16. Hortaleza;04. Salamanca;190;228
16. Hortaleza;05. Chamartín;363;388
16. Hortaleza;06. Tetuán;273;312
16. Hortaleza;07. Chamberí;151;164
16. Hortaleza;08. Fuencarral-El Pardo;639;595
16. Hortaleza;09. Moncloa-Aravaca;100;105
16. Hortaleza;10. Latina;124;156
16. Hortaleza;11. Carabanchel;138;199
16. Hortaleza;12. Usera;94;104
16. Hortaleza;13. Puente de Vallecas;190;242
16. Hortaleza;14. Moratalaz;60;76
16. Hortaleza;15. Ciudad Lineal;515;562
16. Hortaleza;16. Hortaleza;5.462;5.826
16. Hortaleza;17. Villaverde;95;86
16. Hortaleza;18. Villa de Vallecas;133;168
16. Hortaleza;19. Vicálvaro;98;133
16. Hortaleza;20. San Blas-Canillejas;355;331
16. Hortaleza;21. Barajas;290;255
17. Villaverde;Ciudad de Madrid;8.324;9.758
17. Villaverde;01. Centro;141;177
17. Villaverde;02. Arganzuela;163;168
17. Villaverde;03. Retiro;54;41
17. Villaverde;04. Salamanca;51;69
17. Villaverde;05. Chamartín;53;58
17. Villaverde;06. Tetuán;161;180
17. Villaverde;07. Chamberí;44;62
17. Villaverde;08. Fuencarral-El Pardo;90;144
17. Villaverde;09. Moncloa-Aravaca;51;50
17. Villaverde;10. Latina;306;298
17. Villaverde;11. Carabanchel;472;517
17. Villaverde;12. Usera;530;569
17. Villaverde;13. Puente de Vallecas;406;518
17. Villaverde;14. Moratalaz;44;75
17. Villaverde;15. Ciudad Lineal;143;176
17. Villaverde;16. Hortaleza;88;108
17. Villaverde;17. Villaverde;5.150;6.117
17. Villaverde;18. Villa de Vallecas;148;190
17. Villaverde;19. Vicálvaro;87;92
17. Villaverde;20. San Blas-Canillejas;132;137
17. Villaverde;21. Barajas;10;12
18. Villa de Vallecas;Ciudad de Madrid;5.965;6.791
18. Villa de Vallecas;01. Centro;100;101
18. Villa de Vallecas;02. Arganzuela;61;77
18. Villa de Vallecas;03. Retiro;102;115
18. Villa de Vallecas;04. Salamanca;75;69
18. Villa de Vallecas;05. Chamartín;46;51
18. Villa de Vallecas;06. Tetuán;101;116
