"area","Bachiller Elemental, Graduado Escolar, ESO, Formación profesional 1º grado","Estudios superiores, licenciado, arquitecto o ingeniero superior, estudios superiores no universitarios, doctorado, estudios postgraduados","Formación profesional 2º grado, Bachiller Superior o BUP","Nivel de estudios desconocido y no consta","No sabe leer ni escribir o sin estudios","Primaria incompleta","Titulados medios, diplomados, arquitecto o ingeniero técnico"
"VILLAVERDE","0.383757621","0.090575697","0.184548797","0.001256574","0.097807977","0.181607484","0.060445851"
"Villaverde Alto, C.H. Villaverde","0.390584079","0.077532127","0.171082283","0.001431269","0.119252086","0.189810585","0.050307570"
"San Cristóbal","0.4479512735","0.0481727575","0.1342746401","0.0009228498","0.1250461425","0.2157622739","0.0278700628"
"Butarque","0.3727671322","0.1308866515","0.2312439104","0.0005683664","0.0569990257","0.1101818772","0.0973530367"
"Los Rosales","0.378180883","0.098740499","0.195020747","0.001138325","0.090368303","0.171262806","0.065288437"
"Los Ángeles","0.357632579","0.097554931","0.189781926","0.001652073","0.085660003","0.203163720","0.064554766"
"VILLA DE VALLECAS","0.3280256814","0.1676450652","0.2106434409","0.0003453171","0.0695238461","0.1216155725","0.1022010769"
"Casco Histórico de Vallecas","0.3963710797","0.0715376075","0.1653830142","0.0004857064","0.1235081876","0.1912642243","0.0514501804"
"Santa Eugenia","0.3250471995","0.1565974407","0.2408223201","0.0006817705","0.0610971261","0.1196245018","0.0961296413"
"Ensanche de Vallecas","0.26487771","0.26603294","0.23470971","0.00000000","0.02346767","0.05660626","0.15430571"
"VICÁLVARO","0.3284987831","0.1577593542","0.2013890263","0.0000989335","0.0774847148","0.1427610360","0.0920081521"
"Casco Histórico de Vicálvaro","0.3943165716","0.0759450040","0.1518900080","0.0001531921","0.1210983877","0.2093370610","0.0472597756"
"Valdebernardo","0.27479474548","0.22192118227","0.24786535304","0.00008210181","0.04737274220","0.09400656814","0.11395730706"
"Valderrivas","0.23505976","0.27351464","0.26034990","0.00000000","0.01446388","0.04780876","0.16880305"
"El Cañaveral","0.34900285","0.18376068","0.26638177","0.00000000","0.01424501","0.07407407","0.11253561"
"SAN BLAS-CANILLEJAS","0.309184363","0.190640314","0.201561658","0.001086148","0.063860357","0.141267629","0.092399531"
"Simancas","0.3293392840","0.1853109537","0.1856505288","0.0008246823","0.0647618124","0.1448045018","0.0893082371"
"Hellín","0.389586823","0.072445561","0.164712451","0.002233389","0.114042434","0.215242881","0.041736460"
"Amposta","0.416917472","0.063836528","0.149215904","0.001267226","0.109773483","0.218438144","0.040551243"
"Arcos","0.351292258","0.117900992","0.183270729","0.001289455","0.102932107","0.173571789","0.069742670"
"Rosas","0.2509867973","0.2432285287","0.2556145365","0.0004536999","0.0273581053","0.0955492038","0.1268091284"
"Rejas","0.226345083","0.320627425","0.209394502","0.001011975","0.030696576","0.069657615","0.142266824"
"Canillejas","0.347835748","0.142653986","0.189183184","0.001199893","0.071238112","0.174562261","0.073326815"
"El Salvador","0.189695278","0.357408700","0.229820889","0.001628286","0.025122121","0.076296813","0.120027913"
"BARAJAS","0.2147080562","0.3090852237","0.2295468759","0.0006253909","0.0358462676","0.0750184775","0.1351697083"
"Alameda de Osuna","0.165282505","0.361266167","0.248808713","0.001021103","0.014023145","0.052076242","0.157522124"
"Aeropuerto","0.39044117647058824","0.074999999999999997","0.2161764705882353","0.0014705882352941176","0.099264705882352935","0.16838235294117648","0.04926470588235294"
"Casco Histórico de Barajas","0.3461214875","0.1285546021","0.2281675921","0.0005047956","0.0799259633","0.1388187784","0.0779067811"
"Timón","0.2436731743","0.2797059532","0.2295733912","0.0002410219","0.0397686189","0.0739937334","0.1330441070"
"Corralejos","0.10538162","0.48680172","0.17700020","0.00000000","0.02353182","0.04215265","0.16513198"
