I . Mercado de Trabajo
Paro registrado
Parados por Barrios
4.1.A. Paro registrado por Mes y Sexo según Distrito y Barrio (de diciembre de 2012 a agosto 2017)
;;;;Ambos sexos
2014;Julio;17. Villaverde;175. Ángeles;2.634
2014;Julio;18. Villa de Vallecas;18. Villa de Vallecas;9.273
2014;Julio;18. Villa de Vallecas;180. No consta;101
2014;Julio;18. Villa de Vallecas;181. Casco Histórico de Vallecas;7.002
2014;Julio;18. Villa de Vallecas;182. Santa Eugenia;2.170
2014;Julio;19. Vicálvaro;19. Vicálvaro;5.939
2014;Julio;19. Vicálvaro;190. No consta;94
2014;Julio;19. Vicálvaro;191. Casco Histórico de Vicálvaro;4.045
2014;Julio;19. Vicálvaro;192. Ambroz;1.800
2014;Julio;20. San Blas-Canillejas;20. San Blas-Canillejas;12.088
2014;Julio;20. San Blas-Canillejas;200. No consta;259
2014;Julio;20. San Blas-Canillejas;201. Simancas;2.275
2014;Julio;20. San Blas-Canillejas;202. Hellín;890
2014;Julio;20. San Blas-Canillejas;203. Amposta;919
2014;Julio;20. San Blas-Canillejas;204. Arcos;2.137
2014;Julio;20. San Blas-Canillejas;205. Rosas;1.902
2014;Julio;20. San Blas-Canillejas;206. Rejas;858
2014;Julio;20. San Blas-Canillejas;207. Canillejas;2.233
2014;Julio;20. San Blas-Canillejas;208. El Salvador;615
2014;Julio;21. Barajas;21. Barajas;2.648
2014;Julio;21. Barajas;210. No consta;67
2014;Julio;21. Barajas;211. Alameda de Osuna;993
2014;Julio;21. Barajas;212. Aeropuerto;153
2014;Julio;21. Barajas;213. Casco Histórico de Barajas;551
2014;Julio;21. Barajas;214. Timón;610
2014;Julio;21. Barajas;215. Corralejos;274
2015;Julio;Ciudad de Madrid;Ciudad de Madrid;211.198
2015;Julio;01. Centro;01. Centro;9.687
2015;Julio;01. Centro;010. No consta;408
2015;Julio;01. Centro;011. Palacio;1.439
2015;Julio;01. Centro;012. Embajadores;3.627
2015;Julio;01. Centro;013. Cortes;706
2015;Julio;01. Centro;014. Justicia;937
2015;Julio;01. Centro;015. Universidad;2.086
2015;Julio;01. Centro;016. Sol;484
2015;Julio;02. Arganzuela;02. Arganzuela;9.115
2015;Julio;02. Arganzuela;020. No consta;336
2015;Julio;02. Arganzuela;021. Imperial;1.327
2015;Julio;02. Arganzuela;022. Acacias;1.986
2015;Julio;02. Arganzuela;023. Chopera;1.370
2015;Julio;02. Arganzuela;024. Legazpi;851
2015;Julio;02. Arganzuela;025. Delicias;1.493
2015;Julio;02. Arganzuela;026. Palos de la Frontera;1.682
2015;Julio;02. Arganzuela;027. Atocha;70
2015;Julio;03. Retiro;03. Retiro;5.273
2015;Julio;03. Retiro;030. No consta;219
2015;Julio;03. Retiro;031. Pacífico;1.579
2015;Julio;03. Retiro;032. Adelfas;988
2015;Julio;03. Retiro;033. Estrella;812
2015;Julio;03. Retiro;034. Ibiza;976
2015;Julio;03. Retiro;035. Los Jerónimos;221
2015;Julio;03. Retiro;036. Niño Jesús;478
2015;Julio;04. Salamanca;04. Salamanca;6.205
2015;Julio;04. Salamanca;040. No consta;290
2015;Julio;04. Salamanca;041. Recoletos;450
2015;Julio;04. Salamanca;042. Goya;1.205
2015;Julio;04. Salamanca;043. Fuente del Berro;1.043
2015;Julio;04. Salamanca;044. Guindalera;1.895
2015;Julio;04. Salamanca;045. Lista;858
2015;Julio;04. Salamanca;046. Castellana;464
2015;Julio;05. Chamartín;05. Chamartín;5.841
2015;Julio;05. Chamartín;050. No consta;175
2015;Julio;05. Chamartín;051. El Viso;422
2015;Julio;05. Chamartín;052. Prosperidad;1.908
2015;Julio;05. Chamartín;053. Ciudad Jardín;951
2015;Julio;05. Chamartín;054. Hispanoamérica;1.070
2015;Julio;05. Chamartín;055. Nueva España;694
2015;Julio;05. Chamartín;056. Castilla;621
2015;Julio;06. Tetuán;06. Tetuán;10.513
2015;Julio;06. Tetuán;060. No consta;269
2015;Julio;06. Tetuán;061. Bellas Vistas;1.970
2015;Julio;06. Tetuán;062. Cuatro Caminos;1.813
2015;Julio;06. Tetuán;063. Castillejos;988
2015;Julio;06. Tetuán;064. Almenara;1.888
2015;Julio;06. Tetuán;065. Valdeacederas;1.866
2015;Julio;06. Tetuán;066. Berruguete;1.719
2015;Julio;07. Chamberí;07. Chamberí;6.188
2015;Julio;07. Chamberí;070. No consta;460
2015;Julio;07. Chamberí;071. Gaztambide;1.018
2015;Julio;07. Chamberí;072. Arapiles;1.135
2015;Julio;07. Chamberí;073. Trafalgar;1.174
2015;Julio;07. Chamberí;074. Almagro;664
2015;Julio;07. Chamberí;075. Ríos Rosas;1.075
2015;Julio;07. Chamberí;076. Vallehermoso;662
2015;Julio;08. Fuencarral-El Pardo;08. Fuencarral-El Pardo;11.486
2015;Julio;08. Fuencarral-El Pardo;080. No consta;274
2015;Julio;08. Fuencarral-El Pardo;081. El Pardo;162
2015;Julio;08. Fuencarral-El Pardo;082. Fuentelarreina;91
2015;Julio;08. Fuencarral-El Pardo;083. Peñagrande;2.330
2015;Julio;08. Fuencarral-El Pardo;084. Pilar;2.585
2015;Julio;08. Fuencarral-El Pardo;085. La Paz;1.380
2015;Julio;08. Fuencarral-El Pardo;086. Valverde;3.197
2015;Julio;08. Fuencarral-El Pardo;087. Mirasierra;989
2015;Julio;08. Fuencarral-El Pardo;088. El Goloso;478
2015;Julio;09. Moncloa-Aravaca;09. Moncloa-Aravaca;5.126
2015;Julio;09. Moncloa-Aravaca;090. No consta;248
2015;Julio;09. Moncloa-Aravaca;091. Casa de Campo;634
2015;Julio;09. Moncloa-Aravaca;092. Argüelles;979
2015;Julio;09. Moncloa-Aravaca;093. Ciudad Universitaria;502
2015;Julio;09. Moncloa-Aravaca;094. Valdezarza;1.767
2015;Julio;09. Moncloa-Aravaca;095. Valdemarín;124
2015;Julio;09. Moncloa-Aravaca;096. El Plantío;61
2015;Julio;09. Moncloa-Aravaca;097. Aravaca;811
2015;Julio;10. Latina;10. Latina;16.984
2015;Julio;10. Latina;100. No consta;386
2015;Julio;10. Latina;101. Los Cármenes;1.526
2015;Julio;10. Latina;102. Puerta del Ángel;3.337
2015;Julio;10. Latina;103. Lucero;2.655
2015;Julio;10. Latina;104. Aluche;4.307
2015;Julio;10. Latina;105. Campamento;1.211
2015;Julio;10. Latina;106. Cuatro Vientos;259
2015;Julio;10. Latina;107. Águilas;3.303
2015;Julio;11. Carabanchel;11. Carabanchel;19.658
2015;Julio;11. Carabanchel;110. No consta;342
2015;Julio;11. Carabanchel;111. Comillas;1.667
2015;Julio;11. Carabanchel;112. Opañel;2.483
2015;Julio;11. Carabanchel;113. San Isidro;3.561
2015;Julio;11. Carabanchel;114. Vista Alegre;3.526
2015;Julio;11. Carabanchel;115. Puerta Bonita;2.775
2015;Julio;11. Carabanchel;116. Buenavista;2.969
2015;Julio;11. Carabanchel;117. Abrantes;2.335
2015;Julio;12. Usera;12. Usera;11.660
2015;Julio;12. Usera;120. No consta;134
2015;Julio;12. Usera;121. Orcasitas;1.872
2015;Julio;12. Usera;122. Orcasur;1.490
2015;Julio;12. Usera;123. San Fermín;2.026
2015;Julio;12. Usera;124. Almendrales;1.670
2015;Julio;12. Usera;125. Moscardó;1.934
2015;Julio;12. Usera;126. Zofío;1.223
2015;Julio;12. Usera;127. Pradolongo;1.311
2015;Julio;13. Puente de Vallecas;13. Puente de Vallecas;22.377
2015;Julio;13. Puente de Vallecas;130. No consta;345
2015;Julio;13. Puente de Vallecas;131. Entrevías;3.641
2015;Julio;13. Puente de Vallecas;132. San Diego;3.959
2015;Julio;13. Puente de Vallecas;133. Palomeras Bajas;3.272
2015;Julio;13. Puente de Vallecas;134. Palomeras Sureste;3.908
2015;Julio;13. Puente de Vallecas;135. Portazgo;2.753
2015;Julio;13. Puente de Vallecas;136. Numancia;4.499
2015;Julio;14. Moratalaz;14. Moratalaz;6.577
2015;Julio;14. Moratalaz;140. No consta;105
2015;Julio;14. Moratalaz;141. Pavones;711
2015;Julio;14. Moratalaz;142. Horcajo;416
2015;Julio;14. Moratalaz;143. Marroquina;1.675
2015;Julio;14. Moratalaz;144. Media Legua;1.319
2015;Julio;14. Moratalaz;145. Fontarrón;1.317
2015;Julio;14. Moratalaz;146. Vinateros;1.034
2015;Julio;15. Ciudad Lineal;15. Ciudad Lineal;13.910
2015;Julio;15. Ciudad Lineal;150. No consta;288
2015;Julio;15. Ciudad Lineal;151. Ventas;3.434
2015;Julio;15. Ciudad Lineal;152. Pueblo Nuevo;4.398
2015;Julio;15. Ciudad Lineal;153. Quintana;1.787
2015;Julio;15. Ciudad Lineal;154. Concepción;1.205
2015;Julio;15. Ciudad Lineal;155. San Pascual;1.043
2015;Julio;15. Ciudad Lineal;156. San Juan Bautista;512
2015;Julio;15. Ciudad Lineal;157. Colina;261
2015;Julio;15. Ciudad Lineal;158. Atalaya;65
2015;Julio;15. Ciudad Lineal;159. Costillares;917
2015;Julio;16. Hortaleza;16. Hortaleza;9.704
2015;Julio;16. Hortaleza;160. No consta;248
2015;Julio;16. Hortaleza;161. Palomas;226
2015;Julio;16. Hortaleza;162. Piovera;434
2015;Julio;16. Hortaleza;163. Canillas;2.208
2015;Julio;16. Hortaleza;164. Pinar del Rey;3.485
2015;Julio;16. Hortaleza;165. Apóstol Santiago;1.078
2015;Julio;16. Hortaleza;166. Valdefuentes;2.025
2015;Julio;17. Villaverde;17. Villaverde;13.482
2015;Julio;17. Villaverde;170. No consta;197
2015;Julio;17. Villaverde;171. San Andrés;4.547
2015;Julio;17. Villaverde;172. San Cristóbal;1.881
2015;Julio;17. Villaverde;173. Butarque;1.230
2015;Julio;17. Villaverde;174. Los Rosales;3.241
2015;Julio;17. Villaverde;175. Ángeles;2.386
2015;Julio;18. Villa de Vallecas;18. Villa de Vallecas;8.336
2015;Julio;18. Villa de Vallecas;180. No consta;66
2015;Julio;18. Villa de Vallecas;181. Casco Histórico de Vallecas;6.370
2015;Julio;18. Villa de Vallecas;182. Santa Eugenia;1.900
2015;Julio;19. Vicálvaro;19. Vicálvaro;5.591
2015;Julio;19. Vicálvaro;190. No consta;84
2015;Julio;19. Vicálvaro;191. Casco Histórico de Vicálvaro;3.818
2015;Julio;19. Vicálvaro;192. Ambroz;1.689
2015;Julio;20. San Blas-Canillejas;20. San Blas-Canillejas;11.093
2015;Julio;20. San Blas-Canillejas;200. No consta;174
2015;Julio;20. San Blas-Canillejas;201. Simancas;2.083
2015;Julio;20. San Blas-Canillejas;202. Hellín;888
2015;Julio;20. San Blas-Canillejas;203. Amposta;851
2015;Julio;20. San Blas-Canillejas;204. Arcos;1.959
2015;Julio;20. San Blas-Canillejas;205. Rosas;1.669
2015;Julio;20. San Blas-Canillejas;206. Rejas;771
2015;Julio;20. San Blas-Canillejas;207. Canillejas;2.165
2015;Julio;20. San Blas-Canillejas;208. El Salvador;533
2015;Julio;21. Barajas;21. Barajas;2.392
2015;Julio;21. Barajas;210. No consta;50
2015;Julio;21. Barajas;211. Alameda de Osuna;866
2015;Julio;21. Barajas;212. Aeropuerto;131
2015;Julio;21. Barajas;213. Casco Histórico de Barajas;547
2015;Julio;21. Barajas;214. Timón;554
2015;Julio;21. Barajas;215. Corralejos;244
;
;
Fuente: Servicio Público de Empleo Estatal. Elaboración: Subdirección General de Estadística. Ayuntamiento de Madrid
"Observaciones: No consta"" dentro de cada Distrito representa el número de parados que, aún habiéndose asignado por medios probabilísticos el Distrito de residencia, no es posible la asignación de Barrio."
