C. Demografía y Población
Población extranjera
Nacionalidad
6.1.1.A Población por Distrito y Barrio según Nacionalidad (2002-2017)
;;;Total;Extranjera;% de extranjeros
1 de julio de 2014;19. Vicálvaro;19. Vicálvaro;69.741;8.211;"11,77"
1 de julio de 2014;19. Vicálvaro;191. Casco Histórico de Vicálvaro;50.598;4.873;"9,63"
1 de julio de 2014;19. Vicálvaro;192. Ambroz;18.909;3.218;"17,02"
1 de julio de 2014;20. San Blas-Canillejas;20. San Blas-Canillejas;153.240;15.523;"10,13"
1 de julio de 2014;20. San Blas-Canillejas;201. Simancas;26.133;3.714;"14,21"
1 de julio de 2014;20. San Blas-Canillejas;202. Hellín;8.783;735;"8,37"
1 de julio de 2014;20. San Blas-Canillejas;203. Amposta;8.142;927;"11,39"
1 de julio de 2014;20. San Blas-Canillejas;204. Arcos;23.508;1.945;"8,27"
1 de julio de 2014;20. San Blas-Canillejas;205. Rosas;31.607;1.656;"5,24"
1 de julio de 2014;20. San Blas-Canillejas;206. Rejas;14.792;1.955;"13,22"
1 de julio de 2014;20. San Blas-Canillejas;207. Canillejas;28.780;3.778;"13,13"
1 de julio de 2014;20. San Blas-Canillejas;208. El Salvador;11.490;812;"7,07"
1 de julio de 2014;21. Barajas;21. Barajas;45.758;4.230;"9,24"
1 de julio de 2014;21. Barajas;211. Alameda de Osuna;19.611;1.170;"5,97"
1 de julio de 2014;21. Barajas;212. Aeropuerto;1.833;347;"18,93"
1 de julio de 2014;21. Barajas;213. Casco Histórico de Barajas;7.275;1.212;"16,66"
1 de julio de 2014;21. Barajas;214. Timón;9.826;956;"9,73"
1 de julio de 2014;21. Barajas;215. Corralejos;7.194;541;"7,52"
1 de julio de 2015;01. Centro;01. Centro;132.086;27.566;"20,87"
1 de julio de 2015;01. Centro;011. Palacio;22.264;3.549;"15,94"
1 de julio de 2015;01. Centro;012. Embajadores;44.730;10.980;"24,55"
1 de julio de 2015;01. Centro;013. Cortes;10.558;2.123;"20,11"
1 de julio de 2015;01. Centro;014. Justicia;16.298;2.983;"18,3"
1 de julio de 2015;01. Centro;015. Universidad;30.856;6.121;"19,84"
1 de julio de 2015;01. Centro;016. Sol;7.377;1.808;"24,51"
1 de julio de 2015;02. Arganzuela;02. Arganzuela;151.226;14.455;"9,56"
1 de julio de 2015;02. Arganzuela;021. Imperial;22.653;1.474;"6,51"
1 de julio de 2015;02. Arganzuela;022. Acacias;36.644;2.394;"6,53"
1 de julio de 2015;02. Arganzuela;023. Chopera;20.082;2.756;"13,72"
1 de julio de 2015;02. Arganzuela;024. Legazpi;18.173;1.275;"7,02"
1 de julio de 2015;02. Arganzuela;025. Delicias;26.874;2.911;"10,83"
1 de julio de 2015;02. Arganzuela;026. Palos de la Frontera;25.701;3.609;"14,04"
1 de julio de 2015;02. Arganzuela;027. Atocha;1.091;33;"3,02"
1 de julio de 2015;03. Retiro;03. Retiro;118.553;7.801;"6,58"
1 de julio de 2015;03. Retiro;031. Pacífico;33.783;2.576;"7,63"
