E. Edificación y Vivienda
Mercado de la vivienda
Precios de la vivienda
4.3.20. Evolución del precio de la vivienda de segunda mano por Distrito  y Barrio (€/m2)
18. Villa de Vallecas;181. Casco Histórico de Vallecas (Ensanche de Vallecas - Valdecarros- La Gavia);2.299;Sin Datos;2.774;2.695
18. Villa de Vallecas;182. Santa Eugenia;1.667;1.744;2.143;2.285
19. Vicálvaro;19. Vicálvaro;1.692;1.667;2.227;2.355
19. Vicálvaro;191. Casco Histórico de Vicálvaro;1.451;1.475;Sin Datos;2.145
19. Vicálvaro;191. Casco Histórico de Vicálvaro (Valdebernardo - Valderribas);2.210;2.154;Sin Datos;2.895
19. Vicálvaro;191. Casco Histórico de Vicálvaro (El Cañaveral - Los Berrocales);Sin Datos;Sin Datos;Sin Datos;2.420
19. Vicálvaro;192. Ambroz;1.359;1.314;1.956;2.092
20. San Blas-Canillejas;20. San Blas-Canillejas;1.983;2.000;2.595;2.488
20. San Blas-Canillejas;201. Simancas;1.928;1.955;2.511;2.600
20. San Blas-Canillejas;202. Hellín;1.203;Sin Datos;Sin Datos;1.925
20. San Blas-Canillejas;203. Amposta;1.225;1.145;Sin Datos;2.073
20. San Blas-Canillejas;204. Arcos;1.330;1.355;2.084;2.130
20. San Blas-Canillejas;205. Rosas;2.446;2.545;2.993;3.121
20. San Blas-Canillejas;206. Rejas;2.487;2.518;3.133;3.022
20. San Blas-Canillejas;207. Canillejas;1.775;1.617;2.100;2.360
20. San Blas-Canillejas;208. Salvador;2.634;2.569;Sin Datos;3.074
21. Barajas;21. Barajas;2.583;2.602;3.242;3.203
21. Barajas;211. Alameda de Osuna;2.612;2.583;3.185;3.273
21. Barajas;212. Aeropuerto;Sin Datos;Sin Datos;Sin Datos;Sin Datos
21. Barajas;213. Casco Histórico de Barajas;1.991;Sin Datos;Sin Datos;3.104
21. Barajas;214. Timón;2.433;2.431;Sin Datos;3.088
21. Barajas;215. Corralejos;3.426;3.262;Sin Datos;3.476
;
;
Fuente: Idealista.com: Índice Inmobiliario Anual. www.idealista.com
"Observaciones: Datos a diciembre de cada año.
Algunos barrios aparecen divididos  en  zonas que utilizan la denominación utilizada por la fuente."
